start	end	text
69520	70520	WE'VE BEEN TALKING IN RECENT
70520	71520	WEEKS UNDERSTANDABLY ABOUT THE
71520	72520	ASSASSINATION CULTURE, THE
72520	73520	CULTURE OF ENCOURAGING POLITICAL
73520	74520	VIOLENCE IN THIS COUNTRY.
74520	76520	I DON'T THINK ANYONE HAS BEEN
76520	77520	MORE CONSISTENTLY ON THE
77520	78520	RECEIVING END OF THREATS OF
78520	79520	VIOLENCE THAN ICE AGENTS IN
79520	80520	THIS COUNTRY.
80520	81520	I'VE SEEN IT WITH MY OWN EYES.
81520	83520	IN 2020 I SAW I WAS UNDERCOVER
83520	85520	WITH ANTIFA IN PORTLAND AND I
85520	87520	JUST SAW THE WAY THEY WERE
87520	89520	BEHAVING TOWARDS THE ICE AGENTS.
89520	91520	THEY TRY TO BURN THEM ALIVE IN
91520	92520	THEIR BUILDINGS.
92520	94520	THEY SET LIGHT TO DUMPS THE
94520	96520	TRUCKS AND WHILE THEM INTO THE
96520	97520	DOORS IN THE HOPE THEY CAN'T GET
97520	98520	OUT.
98520	100520	NOW WE HAVE ROUTINELY THE DOXING
100520	102520	OF ANYONE WHO IS ICE AGENTS.
102520	104520	ICE AGENTS HAVING TO COVER THEIR
104520	105520	FACES FOR FEAR OF RETRIBUTION.
105520	108520	HIT LISTS OUT ONLINE WITH BOUNTIES
108520	110520	ON THE HEADS OF AGENTS.
110520	111520	THIS IS OBSCINE.
111520	113520	THIS SHOULD NOT BE HAPPENING IN
113520	114520	THIS COUNTRY.
114520	116520	THESE ARE FEDERAL EMPLOYEES.
116520	118520	NOT ONLY THE MASKING SITUATION,
118520	120520	YOU'VE GOT THE GOVERNOR OF
120520	121520	CALIFORNIA SAYING TAKE THE MASKS
121520	122520	OFF.
122520	124520	SO YOU'VE GOT THEM TRYING TO
124520	125520	PROTECT THEMSELVES AND THE
125520	127520	GOVERNOR OF A LARGE STATE THAT
127520	129520	HAS A LOT OF ILLEGAL ALIENS WHO
129520	130520	ARE COMMITTING CRIMES IN HIS
130520	131520	STATE, WANTING TO PROTECT THE
131520	133520	CRIMINALS OVER THE PEOPLE WHO
133520	134520	HAVE GONE TO TAKE BACK ORDER.
134520	135520	IT'S UNFATHOMABLE.
135520	137520	I'M GLAD YOU BRING UP 2020 AS
137520	139520	THEY ATTEMPTED TO LIGHT THAT
139520	141520	COURTHOUSE ON FIRE IN PORTLAND.
141520	143520	I'M READING THROUGH THE
143520	146520	EMERGENCY MOTION THAT DOJ FILED
146520	148520	TO THE NINTH CIRCUIT TO REVERSE
148520	150520	THE ORDER OF THE DISTRICT COURT
150520	152520	JUDGE THERE IN PORTLAND SAYING
152520	153520	YOU CAN'T DEPLOY THE NATIONAL
153520	154520	GUARD.
154520	155520	WHEN YOU GET TO PAGE SIX,
155520	156520	LISTEN TO THIS, THEY'RE STILL
156520	157520	DOING IT, DOUGLAS.
157520	159520	PROTESTERS REPEATEDLY TRIED TO
159520	160520	BURN DOWN THE PORTLAND ICE
160520	161520	OFFICE.
161520	163520	ONE PROTESTER LIT A FLAME, SET
163520	165520	FIRE TO MATERIALS, THE MOB THEN
165520	167520	PILED ON ADDITIONAL TENDER
167520	168520	ATTEMPTING TO STOKE THE FLAMES.
168520	169520	THAT'S JUST ONE OF SEVERAL
169520	170520	INCIDENTS THE GOVERNMENT POINTS
170520	171520	TO.
171520	173520	AND THEN YOU HAVE THE SITUATION
173520	174520	THAT IS, I JUST CAN'T EVEN WRAP
174520	175520	MY MIND AROUND.
175520	177520	PORTLAND POLICE NOT ALLOWED TO
177520	178520	GO INTO THIS BUBBLE.
178520	180520	THERE'S TWO LIAISON OFFICERS ON
180520	181520	EITHER SIDE.
181520	183520	AND THEN THEY GO INTO THE BUBBLE
183520	184520	TO ARREST NICK SORTER,
184520	185520	CONSERVATIVE JOURNALIST, FOR
185520	186520	DOING NOTHING, ACCORDING TO
186520	187520	HIM.
187520	188520	BUT DON'T GO INTO STOP THIS KIND
188520	189520	OF STUFF.
189520	190520	THIS IS WHY PRESIDENT TRUMP HAS
190520	191520	TO STEP IN.
191520	193520	AND JUST, I WOULD SAY THIS, YOU
193520	195520	KNOW, I SPOKE ON SATURDAY, SATURDAY
195520	197520	IN AMERICA, WITH TOM HOMEN.
197520	198520	AND I SAID TO TOM, WHAT'S
198520	199520	HAPPENING IN PORTLAND, THE
199520	200520	STAND DOWN OF THE POLICE THAT
200520	201520	WE'RE SEEING, IS IT HAPPENING
201520	202520	IN CHICAGO?
202520	204520	AND THIS WAS RIGHT BEFORE THIS
204520	205520	INCIDENT HAPPENED.
205520	207520	AND HE SAID TO ME, CHICAGO,
207520	208520	NEW YORK, PORTLAND, IT'S NOT
208520	209520	THE RANK AND FILE POLICE
209520	210520	OFFICERS.
210520	211520	THEY WANT TO DO THEIR JOB.
211520	213520	IT IS THE DEMOCRATIC LAWMAKERS
213520	214520	ON TOP CREATING THIS DANGEROUS
214520	215520	SITUATION.
215520	218520	WELL, AND IF YOU DO EVENTUALLY
218520	220520	HAVE TO SEND IN LAW ENFORCEMENT
220520	221520	OFFICERS, YOU HAVE ENDANGERED
221520	222520	EVERYBODY'S LIFE AT THAT POINT.
222520	224520	BECAUSE NOW THEY'RE WALKING
224520	225520	INTO SOMETHING THAT'S ALREADY
225520	226520	COOKING WITH GAS.
226520	227520	ABSOLUTELY, HARRIS.
227520	229520	AND FOR THOSE OPPOSING WHAT ICE
229520	231520	IS DOING, WHAT'S THE
231520	232520	ALTERNATIVE?
232520	235520	JUST ALLOW TERRORISTS, CARTEL
235520	236520	MEMBERS, CHILD PREDATORS TO
236520	237520	REMAIN IN AMERICA?
237520	238520	I MEAN, IS THAT WHAT THESE
238520	241520	GOVERNORS ARE ADVOCATING FOR?
241520	242520	I MEAN, ESSENTIALLY, IT IS.
242520	243520	AND DOUGLAS, I'M GLAD YOU
243520	244520	MENTIONED THE BOUNTY STORY.
244520	246520	I WAS CO-HOSTING FOX AND FRIENDS
246520	248520	YESTERDAY WHEN SECRETARY NOEM
248520	249520	BROKE THAT NEWS.
249520	251520	SHE SAID SOME OF OUR ICE AGENTS
251520	252520	AND OFFICERS HAVE BOUNIES PUT
252520	254520	OUT FOR THEIR HEADS, 2,000 TO
254520	255520	KIDNAP, 10,000 TO KILL.
255520	256520	THEIR PICTURES ARE BEING SENT
256520	257520	AROUND NETWORKS.
257520	258520	I ASKED HER THE FOLLOW-UP
258520	259520	QUESTION, WHO IS BEHIND IT?
259520	261520	WHO IS FUNDING THESE BOUNTIES?
261520	263520	AND SHE SAID CARTELS AND
263520	265520	THEY ARE WORKING ON A WHOLE
265520	266520	GOVERNMENT APPROACH ALONG WITH
266520	268520	THE TREASURY DEPARTMENT TO TRY
268520	269520	TO GET TO THE BOTTOM OF WHO IS
269520	270520	FUNDING THESE RIOTS.
270520	272520	SHE SAID SHE WAS IN CHICAGO A
272520	273520	COUPLE OF DAYS AGO.
273520	275520	THEY ALL HAVE THE SAME MASKS.
275520	277520	THEY ALL HAVE THE SAME SIGNS.
277520	279520	INEVITATELY, WE KNOW WE HAVE A
279520	280520	DOMESTIC TERRORISM PROBLEM
280520	281520	BECAUSE THAT IS ESSENTIALLY WHAT
281520	282520	IS HAPPENING IN THESE CITIES.
282520	284520	THEY ARE USING VIOLENCE TO TRY
284520	285520	TO CHANGE OUR GOVERNMENT'S
285520	286520	APPROACH, GOVERNMENT POLICY.
286520	288520	BUT HOW MUCH OVERLAP IS THERE
288520	289520	WITH FOREIGN TERRORISM?
289520	291520	AND I THINK WITH SOME OF THESE
291520	292520	INVESTIGATIONS, HOPEFULLY WE GET
292520	293520	TO THE BOTTOM OF THAT.
293520	295520	YEAH, I WANT TO GO BACK FOR
295520	296520	JUST A SECOND.
296520	297520	ILLINOIS GOVERNOR J.B.
297520	298520	PRITZKER DISMISSED THE DANGER
298520	299520	THAT AGENTS ARE FACING.
299520	301520	HIS STATE HAS FILED A LAWSUIT
301520	302520	AGAINST THE TRUMP ADMINISTRATION
302520	303520	FOR DEPLOYING THE NATIONAL
303520	304520	GUARD.
304520	306520	LET'S WATCH.
